CodeElement, SuspiciousScore
org.apache.commons.math.complex.Complex#divide(org.apache.commons.math.complex.Complex):260, 5.871011067811866
org.apache.commons.math.complex.Complex#divide(org.apache.commons.math.complex.Complex):258, 5.867591483716701
org.apache.commons.math.complex.Complex#divide(org.apache.commons.math.complex.Complex):253, 5.867369971702851
org.apache.commons.math.complex.Complex#divide(org.apache.commons.math.complex.Complex):254, 5.867369971702851
org.apache.commons.math.complex.Complex#divide(org.apache.commons.math.complex.Complex):276, 5.8662970226039555
org.apache.commons.math.complex.Complex#divide(org.apache.commons.math.complex.Complex):277, 5.8662970226039555
org.apache.commons.math.complex.Complex#divide(org.apache.commons.math.complex.Complex):278, 5.8662970226039555
org.apache.commons.math.complex.Complex#divide(org.apache.commons.math.complex.Complex):263, 5.86598124145232
org.apache.commons.math.complex.Complex#divide(org.apache.commons.math.complex.Complex):267, 5.86598124145232
org.apache.commons.math.complex.Complex#divide(org.apache.commons.math.complex.Complex):268, 5.86598124145232
org.apache.commons.math.complex.Complex#divide(org.apache.commons.math.complex.Complex):270, 5.86598124145232
org.apache.commons.math.complex.Complex#divide(org.apache.commons.math.complex.Complex):255, 5.86394
org.apache.commons.math.complex.Complex#divide(org.apache.commons.math.complex.Complex):264, 5.86394
org.apache.commons.math.complex.Complex#divide(org.apache.commons.math.complex.Complex):271, 5.86394
org.apache.commons.math.complex.Complex#divide(org.apache.commons.math.complex.Complex):272, 5.86394
org.apache.commons.math.complex.Complex#divide(org.apache.commons.math.complex.Complex):273, 5.86394
org.apache.commons.math.util.FastMath#log(double,double[]):1470, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1471, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1472, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1474, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1475, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1476, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1477, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1479, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1480, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1481, 3.47884
org.apache.commons.math.util.FastMath#log(double,double[]):1484, 3.47884
org.apache.commons.math.complex.Complex#add(org.apache.commons.math.complex.Complex):164, 3.4578422142113077
org.apache.commons.math.complex.Complex#add(org.apache.commons.math.complex.Complex):159, 3.457694419561549
org.apache.commons.math.complex.Complex#add(org.apache.commons.math.complex.Complex):160, 3.457694419561549
org.apache.commons.math.complex.Complex#add(org.apache.commons.math.complex.Complex):161, 3.45622
org.apache.commons.math.complex.Complex#log():754, 3.3840957418583506
org.apache.commons.math.complex.Complex#log():750, 3.383813033499621
org.apache.commons.math.complex.Complex#log():751, 3.38227
org.apache.commons.math.complex.Complex#multiply(org.apache.commons.math.complex.Complex):430, 3.340702612419124
org.apache.commons.math.complex.Complex#multiply(org.apache.commons.math.complex.Complex):425, 3.339390827634879
org.apache.commons.math.complex.Complex#multiply(org.apache.commons.math.complex.Complex):421, 3.339225228609334
org.apache.commons.math.complex.Complex#multiply(org.apache.commons.math.complex.Complex):422, 3.339225228609334
org.apache.commons.math.complex.Complex#multiply(org.apache.commons.math.complex.Complex):423, 3.33803
org.apache.commons.math.complex.Complex#multiply(org.apache.commons.math.complex.Complex):432, 3.33803
org.apache.commons.math.complex.Complex#abs():122, 3.300622007163556
org.apache.commons.math.complex.Complex#abs():121, 3.2997026781251817
org.apache.commons.math.complex.Complex#abs():118, 3.2996852286093343
org.apache.commons.math.complex.Complex#abs():119, 3.29849
org.apache.commons.math.complex.Complex#abs():124, 3.29849
org.apache.commons.math.complex.Complex#abs():125, 3.29849
org.apache.commons.math.complex.Complex#abs():126, 3.29849
org.apache.commons.math.complex.Complex#abs():128, 3.29849
org.apache.commons.math.complex.Complex#abs():129, 3.29849
org.apache.commons.math.complex.Complex#abs():131, 3.29849
org.apache.commons.math.complex.Complex#abs():132, 3.29849
org.apache.commons.math.complex.Complex#abs():134, 3.29849
org.apache.commons.math.complex.Complex#abs():135, 3.29849
org.apache.commons.math.complex.Complex#equals(java.lang.Object):329, 3.2954167513459485
org.apache.commons.math.complex.Complex#equals(java.lang.Object):327, 3.29362108945118
org.apache.commons.math.complex.Complex#equals(java.lang.Object):328, 3.29362108945118
org.apache.commons.math.complex.Complex#equals(java.lang.Object):326, 3.2935960035817784
org.apache.commons.math.complex.Complex#equals(java.lang.Object):323, 3.2934584766908857
org.apache.commons.math.complex.Complex#equals(java.lang.Object):324, 3.29253
org.apache.commons.math.complex.Complex#equals(java.lang.Object):331, 3.29253
org.apache.commons.math.complex.Complex#equals(java.lang.Object):334, 3.29253
org.apache.commons.math.complex.Complex#subtract(org.apache.commons.math.complex.Complex):497, 3.2935775567228887
org.apache.commons.math.complex.Complex#subtract(org.apache.commons.math.complex.Complex):492, 3.293484213562373
org.apache.commons.math.complex.Complex#subtract(org.apache.commons.math.complex.Complex):493, 3.293484213562373
org.apache.commons.math.complex.Complex#subtract(org.apache.commons.math.complex.Complex):494, 3.29207
org.apache.commons.math.complex.Complex#isNaN():379, 2.577973033499621
org.apache.commons.math.complex.Complex#isInfinite():392, 2.444976003581778
org.apache.commons.math.complex.Complex#createComplex(double,double):1131, 2.432270569415042
org.apache.commons.math.complex.Complex#getReal():368, 2.3898011560552144
org.apache.commons.math.complex.Complex#getImaginary():359, 2.386938153104781
org.apache.commons.math.util.MathUtils#checkNotNull(java.lang.Object):2337, 2.101429771035652
org.apache.commons.math.util.MathUtils#checkNotNull(java.lang.Object):2334, 2.1014273502691894
org.apache.commons.math.util.MathUtils#checkNotNull(java.lang.Object):2335, 2.10085
org.apache.commons.math.util.FastMath#abs(double):3410, 2.068918152723561
org.apache.commons.math.util.FastMath#log(double):1256, 1.4761431848417708
