CodeElement, SuspiciousScore
org.apache.commons.lang.StringEscapeUtils#escapeJavaScript(java.lang.String):122, 3.8935999999999997
org.apache.commons.lang.StringEscapeUtils#escapeJavaScript(java.io.Writer,java.lang.String):138, 3.8935999999999997
org.apache.commons.lang.StringEscapeUtils#escapeJavaScript(java.io.Writer,java.lang.String):139, 3.8836
org.apache.commons.lang.StringEscapeUtils#escapeJavaStyleString(java.io.Writer,java.lang.String,boolean):193, 3.22989
org.apache.commons.lang.StringEscapeUtils#escapeJavaStyleString(java.io.Writer,java.lang.String,boolean):194, 3.22989
org.apache.commons.lang.StringEscapeUtils#escapeJavaStyleString(java.io.Writer,java.lang.String,boolean):195, 3.22989
org.apache.commons.lang.StringEscapeUtils#escapeJavaStyleString(java.io.Writer,java.lang.String,boolean):197, 3.22989
org.apache.commons.lang.StringEscapeUtils#escapeJavaStyleString(java.io.Writer,java.lang.String,boolean):198, 3.22989
org.apache.commons.lang.StringEscapeUtils#escapeJavaStyleString(java.io.Writer,java.lang.String,boolean):199, 3.22989
org.apache.commons.lang.StringEscapeUtils#escapeJavaStyleString(java.io.Writer,java.lang.String,boolean):201, 3.22989
org.apache.commons.lang.StringEscapeUtils#escapeJavaStyleString(java.io.Writer,java.lang.String,boolean):202, 3.22989
org.apache.commons.lang.StringEscapeUtils#escapeJavaStyleString(java.io.Writer,java.lang.String,boolean):203, 3.22989
org.apache.commons.lang.StringEscapeUtils#escapeJavaStyleString(java.io.Writer,java.lang.String,boolean):205, 3.22989
org.apache.commons.lang.StringEscapeUtils#escapeJavaStyleString(java.io.Writer,java.lang.String,boolean):206, 3.22989
org.apache.commons.lang.StringEscapeUtils#escapeJavaStyleString(java.io.Writer,java.lang.String,boolean):207, 3.22989
org.apache.commons.lang.StringEscapeUtils#escapeJavaStyleString(java.io.Writer,java.lang.String,boolean):209, 3.22989
org.apache.commons.lang.StringEscapeUtils#escapeJavaStyleString(java.io.Writer,java.lang.String,boolean):210, 3.22989
org.apache.commons.lang.StringEscapeUtils#escapeJavaStyleString(java.io.Writer,java.lang.String,boolean):211, 3.22989
org.apache.commons.lang.StringEscapeUtils#escapeJavaStyleString(java.io.Writer,java.lang.String,boolean):213, 3.22989
org.apache.commons.lang.StringEscapeUtils#escapeJavaStyleString(java.io.Writer,java.lang.String,boolean):214, 3.22989
org.apache.commons.lang.StringEscapeUtils#escapeJavaStyleString(java.io.Writer,java.lang.String,boolean):216, 3.22989
org.apache.commons.lang.StringEscapeUtils#escapeJavaStyleString(java.io.Writer,java.lang.String,boolean):218, 3.22989
org.apache.commons.lang.StringEscapeUtils#escapeJavaStyleString(java.io.Writer,java.lang.String,boolean):233, 3.22989
org.apache.commons.lang.StringEscapeUtils#escapeJavaStyleString(java.io.Writer,java.lang.String,boolean):234, 3.22989
org.apache.commons.lang.StringEscapeUtils#escapeJavaStyleString(java.io.Writer,java.lang.String,boolean):235, 3.22989
org.apache.commons.lang.StringEscapeUtils#escapeJavaStyleString(java.lang.String,boolean):150, 2.9563310678118655
org.apache.commons.lang.StringEscapeUtils#escapeJavaStyleString(java.lang.String,boolean):149, 2.95426
org.apache.commons.lang.StringEscapeUtils#escapeJavaStyleString(java.lang.String,boolean):153, 2.95426
org.apache.commons.lang.StringEscapeUtils#escapeJavaStyleString(java.lang.String,boolean):154, 2.95426
org.apache.commons.lang.StringEscapeUtils#escapeJavaStyleString(java.lang.String,boolean):155, 2.95426
org.apache.commons.lang.StringEscapeUtils#escapeJavaStyleString(java.lang.String,boolean):156, 2.94926
org.apache.commons.lang.StringEscapeUtils#escapeJavaStyleString(java.lang.String,boolean):158, 2.94926
org.apache.commons.lang.StringEscapeUtils#escapeJavaStyleString(java.lang.String,boolean):159, 2.94926
